wall time,step,value
1625646871.8759482,0,6.207483966136351e-05
1625647090.9061463,1,2.0735233192681335e-05
1625647246.2747982,2,1.931523365783505e-05
1625647402.9399662,3,1.8891927538788877e-05
1625647558.9803786,4,1.851788147178013e-05
1625647721.8159757,5,1.8254118913318962e-05
1625647897.7421465,6,1.8123768313671462e-05
1625648053.3853343,7,1.7942469639820047e-05
1625648209.5663347,8,1.7739232134772465e-05
1625648369.668213,9,1.764149965310935e-05
1625648548.2035584,10,1.7462509276811033e-05
1625648709.1333172,11,1.7397185729350895e-05
1625648870.718489,12,1.7375510651618242e-05
1625649030.3048732,13,1.7186273908009753e-05
1625649199.2242682,14,1.704958049231209e-05
1625649357.5609024,15,1.7164164091809653e-05
1625649512.5390253,16,1.6950909412116744e-05
1625649667.595311,17,1.6887002857401967e-05
1625649822.9143958,18,1.6807627616799437e-05
1625649978.7872403,19,1.6735721146687865e-05
1625650134.2409034,20,1.672221151238773e-05
1625650289.9375703,21,1.665107447479386e-05
1625650454.3676963,22,1.662345493969042e-05
1625650610.0705144,23,1.655457162996754e-05
1625650765.5641038,24,1.6535803297301754e-05
1625650920.8859615,25,1.6499016055604443e-05
1625651077.0356812,26,1.6474812582600862e-05
1625651233.544695,27,1.650728336244356e-05
1625651387.991714,28,1.63895729201613e-05
1625651545.4887455,29,1.6393807527492754e-05
1625651701.7009635,30,1.6368867363780737e-05
1625651859.610417,31,1.634343061596155e-05
1625652015.0571847,32,1.6279809642583132e-05
1625652173.9557137,33,1.625693948881235e-05
1625652330.3867016,34,1.6153680917341262e-05
1625652486.1893744,35,1.6034664440667257e-05
1625652645.6509097,36,1.592863191035576e-05
1625652801.5350955,37,1.5763809642521665e-05
1625652957.3412626,38,1.5768964658491313e-05
1625653113.224256,39,1.5596466255374253e-05
1625653269.481909,40,1.5538371371803805e-05
1625653430.3904116,41,1.548714681121055e-05
1625653592.2872775,42,1.5412420907523483e-05
1625653752.528403,43,1.5358004020527005e-05
1625653911.348068,44,1.5240491848089732e-05
1625654069.5812924,45,1.5091438399394974e-05
1625654230.9872897,46,1.4972641110944096e-05
1625654383.902236,47,1.4805309547227807e-05
1625654536.9265404,48,1.4760459634999279e-05
1625654689.279172,49,1.4525524420605507e-05
1625654842.1004372,50,1.4415208170248661e-05
1625654995.4840937,51,1.4269239727582317e-05
1625655147.5183709,52,1.4143188309390098e-05
1625655300.2459333,53,1.4030534657649696e-05
1625655453.910881,54,1.3900307749281637e-05
1625655607.8257575,55,1.3812375982524827e-05
1625655765.1672866,56,1.3700816452910658e-05
1625655923.08112,57,1.3617494005302433e-05
1625656081.8598738,58,1.35259597300319e-05
1625656238.1024053,59,1.345393047813559e-05
1625656391.8767743,60,1.3370753549679648e-05
1625656544.564367,61,1.3309972018760163e-05
1625656697.5420918,62,1.3253888937470037e-05
1625656856.518336,63,1.3167609722586349e-05
1625657012.7174628,64,1.3101592230668757e-05
1625657167.819715,65,1.3083481462672353e-05
1625657323.3750024,66,1.298836104979273e-05
1625657487.8499725,67,1.2921657798870001e-05
1625657644.1790915,68,1.288932890020078e-05
1625657800.6444943,69,1.2840799172408879e-05
1625657956.6060123,70,1.2801882803614717e-05
1625658111.9895308,71,1.2745644198730588e-05
1625658267.701119,72,1.2709611837635748e-05
1625658426.458832,73,1.2646652066905517e-05
1625658582.8265533,74,1.260818953596754e-05
1625658737.4759328,75,1.256717041542288e-05
1625658894.04026,76,1.2549449820653535e-05
1625659049.283287,77,1.2478979442676064e-05
1625659205.1199365,78,1.246708688995568e-05
1625659362.1924932,79,1.2409196642693132e-05
1625659516.6076283,80,1.2380242878862191e-05
1625659674.0203836,81,1.2332363439782057e-05
1625659840.4482257,82,1.231348142027855e-05
1625659996.2849367,83,1.227542270498816e-05
1625660151.7467358,84,1.2221757970110048e-05
1625660307.7865407,85,1.2195349881949369e-05
1625660463.6076624,86,1.2179158147773705e-05
1625660618.7661357,87,1.2137730664107949e-05
1625660774.8527815,88,1.2104605957574677e-05
1625660930.4552484,89,1.2088126823073253e-05
1625661087.4949174,90,1.2046698429912794e-05
1625661252.1113348,91,1.2010446880594827e-05
1625661419.5294313,92,1.198619429487735e-05
1625661682.0275767,93,1.1964685654675122e-05
1625661856.6410618,94,1.1939494470425416e-05
1625662013.790079,95,1.1900619028892834e-05
1625662191.4341362,96,1.1893393093487248e-05
1625662356.9307952,97,1.1836769772344269e-05
1625662518.9554505,98,1.1836084013339132e-05
1625662711.5788045,99,1.182675168820424e-05
