wall time,step,value
1625591538.7362785,0,6.77360876579769e-05
1625591757.1398983,1,1.750738920236472e-05
1625591917.153618,2,1.6180685634026304e-05
1625592077.3080354,3,1.5955900380504318e-05
1625592279.0712602,4,1.588420673215296e-05
1625592474.2564461,5,1.576759859744925e-05
1625592633.2701845,6,1.58290804392891e-05
1625592787.9246864,7,1.5633509974577464e-05
1625592944.9698873,8,1.5654517483199015e-05
1625593106.3898351,9,1.5499552318942733e-05
1625593259.7946174,10,1.567217623232864e-05
1625593415.2458222,11,1.5300693121389486e-05
1625593583.5251386,12,1.527855420135893e-05
1625593751.257969,13,1.5264968169503845e-05
1625593921.0216796,14,1.5099207303137518e-05
1625594090.2541618,15,1.51063286466524e-05
1625594260.3147666,16,1.494571642979281e-05
1625594430.7504177,17,1.4907359400240239e-05
1625594666.966729,18,1.4807499610469677e-05
1625594889.90194,19,1.4505558283417486e-05
1625595059.696992,20,1.4011167877470143e-05
1625595231.5389907,21,1.3217969353718217e-05
1625595403.6467357,22,1.2674248864641413e-05
1625595577.9104798,23,1.2182677892269567e-05
1625595750.1432571,24,1.179994796984829e-05
1625595921.0008552,25,1.1525119589350652e-05
1625596091.1710436,26,1.1364353667886462e-05
1625596261.310319,27,1.106701347453054e-05
1625596434.64395,28,1.0930878488579765e-05
1625596609.1817944,29,1.0789199222926982e-05
1625596779.4926515,30,1.0646803275449201e-05
1625596948.9440508,31,1.049464481184259e-05
1625597119.2237499,32,1.0414008102088701e-05
1625597293.4408824,33,1.0266606295772363e-05
1625597480.4707003,34,1.0171376743528526e-05
1625597651.5312116,35,1.0060964086733293e-05
1625597823.3266327,36,1.0009303878177889e-05
1625597992.7000225,37,9.9058397609042e-06
1625598166.2921317,38,9.815119483391754e-06
1625598330.884362,39,9.753166523296386e-06
1625598493.3047822,40,9.679141840024386e-06
1625598660.0536919,41,9.648422746977303e-06
1625598821.8643777,42,9.56868188950466e-06
1625598979.8942032,43,9.501975910097826e-06
1625599133.924086,44,9.443036105949432e-06
1625599290.67297,45,9.374341971124522e-06
1625599446.4370072,46,9.36020296649076e-06
1625599600.9512246,47,9.268895155400969e-06
1625599754.2311707,48,9.218369086738676e-06
1625599907.8552394,49,9.166932613879908e-06
1625600075.2909458,50,9.113925443671178e-06
1625600241.961393,51,9.091643732972443e-06
1625600396.0381706,52,9.018634955282323e-06
1625600548.6775374,53,8.98396592674544e-06
1625600701.8327904,54,8.97152040124638e-06
1625600858.3936594,55,8.889340278983582e-06
1625601015.205304,56,8.865870768204331e-06
1625601172.59425,57,8.834840627969243e-06
1625601330.0460596,58,8.792909284238704e-06
1625601487.5758817,59,8.749081644054968e-06
1625601646.6996195,60,8.730965419090353e-06
1625601886.1667154,61,8.721072845219169e-06
1625602081.7272186,62,8.665198038215749e-06
1625602239.8821895,63,8.653333679831121e-06
1625602398.9902785,64,8.617732419224922e-06
1625602562.5358336,65,8.596783118264284e-06
1625602720.5036893,66,8.579451787227299e-06
1625602881.5957522,67,8.539052032574546e-06
1625603049.4694464,68,8.52411631058203e-06
1625603222.3901694,69,8.491877451888286e-06
1625603382.0918515,70,8.47237060952466e-06
1625603539.1061826,71,8.446793799521402e-06
1625603697.0580518,72,8.441035788564477e-06
1625603855.9790099,73,8.400892511417624e-06
1625604014.8216321,74,8.386235094803851e-06
1625604173.0386572,75,8.365829671674874e-06
1625604333.9909065,76,8.348831215698738e-06
1625604490.754925,77,8.336778591910843e-06
1625604646.4413073,78,8.309970326081384e-06
1625604800.6744022,79,8.292930033348966e-06
1625604960.0013375,80,8.280729161924683e-06
1625605114.8126175,81,8.265068572654855e-06
1625605268.9681766,82,8.228455953940284e-06
1625605450.3416414,83,8.239465387305245e-06
1625605606.9339886,84,8.190552762243897e-06
1625605762.80768,85,8.178821190085728e-06
1625605919.2913406,86,8.181769771908876e-06
1625606076.6180344,87,8.168535714503378e-06
1625606236.0385654,88,8.146291293087415e-06
1625606393.0216653,89,8.131500180752482e-06
1625606547.2549691,90,8.110760063573252e-06
1625606704.191317,91,8.105893357424065e-06
1625606862.158818,92,8.081535270321183e-06
1625607020.235667,93,8.0680010796641e-06
1625607181.4690244,94,8.061276275839191e-06
1625607340.483807,95,8.060708751145285e-06
1625607499.170082,96,8.044222340686247e-06
1625607662.1375308,97,8.009148587007076e-06
1625607818.3080726,98,7.999806257430464e-06
1625607974.150677,99,8.01626629254315e-06
1625608131.4466999,100,7.98809287516633e-06
