wall time,step,value
1627310190.543846,0,7.676003588130698e-05
1627310423.401563,1,2.9616519896080717e-05
1627310582.4471571,2,2.797742490656674e-05
1627310743.7589583,3,2.7136191420140676e-05
1627310911.663876,4,2.6637722839950584e-05
1627311073.8814518,5,2.6150531994062476e-05
1627311231.692814,6,2.6146080926992e-05
1627311390.2670615,7,2.6150315534323454e-05
1627311548.5439913,8,2.5938914404832758e-05
1627311706.696959,9,2.5918781830114312e-05
1627311865.2567146,10,2.5788540369831026e-05
1627312023.7225616,11,2.5909574105753563e-05
1627312183.6266313,12,2.550232056819368e-05
1627312356.9209514,13,2.5480252588749863e-05
1627312533.0438583,14,2.5268198442063294e-05
1627312698.995429,15,2.513228537281975e-05
1627312866.2902095,16,2.514546758902725e-05
1627313026.7262769,17,2.498291723895818e-05
1627313185.693465,18,2.4675955501152202e-05
1627313345.2232003,19,2.3776783564244397e-05
1627313506.5811348,20,2.285214577568695e-05
1627313667.0128837,21,2.1925179680692963e-05
1627313827.7975338,22,2.100841265928466e-05
1627313989.3429341,23,1.9980410797870718e-05
1627314149.5136094,24,1.9276823877589777e-05
1627314311.0906556,25,1.896649155241903e-05
1627314472.0737245,26,1.8756491044769064e-05
1627314631.385066,27,1.849900399975013e-05
1627314796.1807854,28,1.8379925677436404e-05
1627314977.8514848,29,1.8166490917792544e-05
1627315151.272243,30,1.804819294193294e-05
1627315323.5833035,31,1.7680711607681587e-05
1627315531.895192,32,1.764756416378077e-05
1627315697.9411767,33,1.746284578985069e-05
1627315864.72193,34,1.723825880617369e-05
1627316031.3612037,35,1.7256601495319046e-05
1627316197.3759093,36,1.7055215721484274e-05
1627316363.640532,37,1.6944868548307568e-05
1627316529.811402,38,1.6811791283544153e-05
1627316696.9354413,39,1.666047865001019e-05
1627316866.840832,40,1.6721973224775866e-05
1627317034.370877,41,1.639237962081097e-05
1627317200.6042128,42,1.649961996008642e-05
1627317366.8884244,43,1.6219226381508633e-05
1627317532.1644957,44,1.6182159015443176e-05
1627317698.1166108,45,1.5993176930351183e-05
1627317861.9633257,46,1.6083416994661093e-05
1627318030.9317849,47,1.595906724105589e-05
1627318199.513449,48,1.579756280989386e-05
1627318367.409598,49,1.56354781211121e-05
1627318534.407321,50,1.561953831696883e-05
